dataset,st-rpp,st-r,err-ia,map-ia
web (2009),29.43,28.99,24.20,17.11
web (2010),40.12,28.02,22.18,20.77
web (2011),46.11,17.93,16.45,26.12
web (2012),44.15,12.15,16.58,25.09
web (2013),49.89,4.48,5.52,24.04
web (2014),50.11,12.87,17.93,40.46
